pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,68236.24570778462,268.76931938136977,68235,349,97123.48295546699
sarscov2,"[0.0, 0.5, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,78609.82754212324,378.4567496241246,78609,277,85129.387390385
sarscov2,"[0.0, 0.5, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,72415.89777119408,309.91317107871885,72415,312,94849.88385276296
sarscov2,"[0.0, 0.5, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,67485.58746608853,261.92629390933087,67485,350,98091.62089460739
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,78597.15566829906,378.29716571513916,78596,278,85099.71109415643
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,72606.30803040379,311.8083465895404,72605,313,94130.64877869985
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,68120.03467806838,267.7056549330176,68119,349,97391.97462910612
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,78605.39056899279,378.40543641838883,78605,277,85195.08648777081
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,72374.70266960286,309.50062294196704,72374,312,95102.86703793122
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,67418.54475034613,261.32730496858073,67417,350,98276.23072918656
sarscov2,"[0.0, 0.55, 0.45]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,79062.57670544926,383.85088947712757,79062,275,83852.66099938926
sarscov2,"[0.0, 0.55, 0.45]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,73045.66381768076,316.35411748575143,73044,311,93362.68759327484
sarscov2,"[0.0, 0.55, 0.45]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,68501.3421792528,271.24849523563455,68500,347,96934.6047429562
sarscov2,"[0.0, 0.55, 0.45]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,79067.17235719605,383.9173280513197,79066,275,84081.41223197497
sarscov2,"[0.0, 0.55, 0.45]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,72784.99474609314,313.72675948071924,72784,310,94490.85238840163
sarscov2,"[0.0, 0.55, 0.45]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,67751.61057022976,264.37527880298137,67751,348,97967.06954361452
sarscov2,"[0.0, 0.55, 0.45]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,79052.36654392554,383.73053376851203,79051,275,83948.81813836619
sarscov2,"[0.0, 0.55, 0.45]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,72966.80749711193,315.54619935065256,72966,311,93702.79336951044
sarscov2,"[0.0, 0.55, 0.45]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,68388.6060907825,270.2098534884344,68388,347,97197.97840732377
sarscov2,"[0.0, 0.55, 0.45]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,79062.93866571959,383.8678157625891,79062,275,84145.3772458423
sarscov2,"[0.0, 0.55, 0.45]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,72745.46289140606,313.3272680089219,72744,310,94738.17670763271
sarscov2,"[0.0, 0.55, 0.45]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,67686.86126914638,263.7929396235614,67686,348,98147.59251781522
sarscov2,"[0.0, 0.6000000000000001, 0.4]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,79509.72558995578,389.2465397189666,79509,273,82783.68602243325
